index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
210,2021,Q1Q2,Brazil,colombia,white,notell,1.0,0.0,yes,0,,,0,,Undecided,0,0
211,2021,Q1Q2,Brazil,venezuela,mixed,stay,3.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,1,0
212,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,1,0
213,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,3.0,yes,1,no,,0,,StronglyAgree,1,0
214,2021,Q1Q2,Brazil,venezuela,white,relocate,2.0,2.0,yes,1,yes,no,0,StronglyAgree,Agree,0,0
215,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,0.0,yes,1,,,0,,StronglyAgree,0,0
216,2021,Q1Q2,Brazil,venezuela,mixed,stay,3.0,1.0,yes,0,yes,yes,0,StronglyAgree,StronglyAgree,0,0
217,2021,Q1Q2,Brazil,venezuela,mixed,stay,8.0,2.0,no,0,no,,0,StronglyAgree,StronglyAgree,0,0
218,2021,Q1Q2,Brazil,venezuela,other,stay,2.0,2.0,no,1,yes,yes,0,,Disagree,0,0
219,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,0.0,no,1,,,0,,StronglyAgree,1,0
220,2021,Q1Q2,Brazil,venezuela,mixed,relocate,1.0,2.0,yes,1,no,,0,Disagree,StronglyAgree,0,0
221,2021,Q1Q2,Brazil,venezuela,other,dontknow,10.0,8.0,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
222,2021,Q1Q2,Brazil,venezuela,black,stay,2.0,4.0,no,1,yes,yes,0,StronglyAgree,StronglyAgree,0,0
223,2021,Q1Q2,Brazil,venezuela,other,relocate,2.0,1.0,yes,1,no,,0,StronglyDisagree,Disagree,0,0
224,2021,Q1Q2,Brazil,venezuela,mixed,relocate,1.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,0,0
225,2021,Q1Q2,Brazil,venezuela,other,relocate,2.0,5.0,yes,1,no,,0,StronglyAgree,StronglyAgree,0,0
226,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,0.0,yes,1,,,0,,Undecided,0,0
227,2021,Q1Q2,Brazil,venezuela,,dontknow,3.0,1.0,yes,1,,,0,,Agree,1,0
228,2021,Q1Q2,Brazil,venezuela,mixed,relocate,3.0,1.0,no,1,yes,no,0,StronglyAgree,StronglyAgree,0,0
229,2021,Q1Q2,Brazil,venezuela,other,dontknow,7.0,8.0,yes,1,no,,0,,StronglyAgree,0,0
230,2021,Q1Q2,Brazil,venezuela,white,dontknow,3.0,2.0,no,1,yes,yes,0,,Agree,1,0
231,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,4.0,0.0,yes,1,,,0,,StronglyAgree,1,0
232,2021,Q1Q2,Brazil,other,other,stay,0.0,0.0,yes,0,,,0,,StronglyAgree,0,0
233,2021,Q1Q2,Brazil,other,,stay,1.0,0.0,yes,0,,,0,StronglyAgree,Agree,0,0
234,2021,Q1Q2,Brazil,venezuela,white,dontknow,2.0,1.0,yes,1,no,,0,,Disagree,0,0
235,2021,Q1Q2,Brazil,venezuela,indigenous,dontknow,3.0,3.0,yes,1,no,,0,,Disagree,0,0
236,2021,Q1Q2,Brazil,venezuela,,,,,,0,,,0,,,0,0
237,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,1.0,yes,1,,,0,StronglyAgree,StronglyAgree,1,0
238,2021,Q1Q2,Brazil,venezuela,black,stay,7.0,1.0,yes,1,yes,no,0,StronglyAgree,StronglyAgree,1,0
239,2021,Q1Q2,Brazil,venezuela,,relocate,2.0,1.0,yes,1,,,0,,Agree,0,0
240,2021,Q1Q2,Brazil,venezuela,other,stay,1.0,3.0,no,1,yes,no,0,,StronglyAgree,1,0
241,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,5.0,0.0,yes,1,,,0,,Undecided,0,0
242,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,1.0,yes,0,no,,0,,StronglyAgree,0,0
243,2021,Q1Q2,Brazil,venezuela,white,stay,3.0,1.0,yes,1,no,,0,,StronglyAgree,0,0
244,2021,Q1Q2,Brazil,venezuela,black,stay,2.0,4.0,no,1,yes,yes,0,StronglyAgree,Disagree,0,0
245,2021,Q1Q2,Brazil,venezuela,other,relocate,2.0,1.0,yes,1,no,,0,,Agree,1,0
246,2021,Q1Q2,Brazil,,black,relocate,1.0,0.0,yes,1,,,0,Agree,Disagree,0,0
247,2021,Q1Q2,Brazil,venezuela,black,stay,2.0,4.0,yes,1,yes,no,0,,Undecided,0,0
248,2021,Q1Q2,Brazil,venezuela,mixed,relocate,0.0,3.0,no,1,yes,no,0,StronglyAgree,Agree,1,0
249,2021,Q1Q2,Brazil,venezuela,black,dontknow,1.0,2.0,yes,1,yes,yes,0,StronglyAgree,Undecided,0,0
250,2021,Q1Q2,Brazil,venezuela,,dontknow,2.0,5.0,yes,1,yes,no,0,StronglyAgree,Undecided,0,0
251,2021,Q1Q2,Brazil,venezuela,other,relocate,2.0,2.0,no,1,yes,no,0,,Undecided,0,0
252,2021,Q1Q2,Brazil,venezuela,mixed,stay,5.0,0.0,no,1,,,0,Agree,Agree,1,0
253,2021,Q1Q2,Brazil,venezuela,white,stay,1.0,3.0,yes,1,yes,no,0,,StronglyAgree,1,0
254,2021,Q1Q2,Brazil,venezuela,other,stay,2.0,2.0,yes,1,yes,no,0,StronglyAgree,Disagree,0,0
255,2021,Q1Q2,Brazil,venezuela,other,dontknow,2.0,2.0,yes,0,no,,0,,StronglyAgree,0,0
256,2021,Q1Q2,Brazil,venezuela,white,relocate,2.0,3.0,yes,1,yes,no,0,StronglyAgree,Disagree,0,0
257,2021,Q1Q2,Brazil,venezuela,other,relocate,2.0,2.0,no,1,yes,yes,0,Agree,Disagree,0,0
258,2021,Q1Q2,Brazil,venezuela,mixed,stay,6.0,5.0,no,1,yes,yes,0,StronglyAgree,Agree,0,0
259,2021,Q1Q2,Brazil,venezuela,,dontknow,1.0,1.0,no,1,yes,no,0,Agree,StronglyAgree,0,0
260,2021,Q1Q2,Brazil,venezuela,other,dontknow,2.0,2.0,no,1,yes,yes,0,Undecided,Undecided,0,0
261,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,3.0,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
262,2021,Q1Q2,Brazil,venezuela,other,stay,1.0,3.0,no,1,yes,no,0,,StronglyAgree,1,0
263,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,3.0,yes,1,yes,yes,0,Disagree,Agree,1,0
264,2021,Q1Q2,Brazil,venezuela,white,stay,2.0,0.0,yes,0,,,0,StronglyAgree,StronglyAgree,0,0
265,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,1.0,0.0,yes,1,,,0,StronglyAgree,Agree,1,0
266,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,1,0
267,2021,Q1Q2,Brazil,venezuela,black,relocate,2.0,0.0,no,1,,,0,StronglyAgree,StronglyDisagree,0,0
268,2021,Q1Q2,Brazil,venezuela,black,relocate,3.0,0.0,yes,1,,,0,,Disagree,0,0
269,2021,Q1Q2,Brazil,venezuela,white,relocate,2.0,3.0,no,1,yes,yes,0,,Disagree,0,0
270,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,1.0,no,1,no,,0,StronglyAgree,StronglyAgree,0,0
271,2021,Q1Q2,Brazil,venezuela,white,stay,4.0,1.0,no,1,,,0,StronglyAgree,StronglyAgree,1,0
272,2021,Q1Q2,Brazil,venezuela,mixed,relocate,1.0,0.0,yes,1,,,0,Disagree,StronglyAgree,1,0
273,2021,Q1Q2,Brazil,venezuela,white,dontknow,2.0,3.0,yes,1,yes,no,0,StronglyAgree,Agree,0,0
274,2021,Q1Q2,Brazil,other,black,stay,1.0,0.0,yes,1,,,0,,StronglyAgree,0,0
275,2021,Q1Q2,Brazil,other,other,stay,1.0,3.0,yes,0,yes,no,0,,Disagree,0,0
276,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,1.0,yes,1,yes,yes,0,,Disagree,0,0
277,2021,Q1Q2,Brazil,venezuela,other,dontknow,2.0,3.0,no,1,yes,yes,0,StronglyAgree,Undecided,0,0
278,2021,Q1Q2,Brazil,venezuela,indigenous,stay,2.0,3.0,yes,1,yes,no,0,StronglyAgree,Undecided,0,0
279,2021,Q1Q2,Brazil,venezuela,other,relocate,1.0,4.0,yes,1,no,,0,,StronglyAgree,1,0
280,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,2.0,1.0,,0,,,0,Agree,Agree,1,0
281,2021,Q1Q2,Brazil,venezuela,,stay,2.0,3.0,yes,0,yes,no,0,StronglyAgree,Undecided,0,0
282,2021,Q1Q2,Brazil,venezuela,other,stay,3.0,3.0,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,0,0
