index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
575,2021,Q1Q2,Argentina,venezuela,,stay,4.0,0.0,yes,1,,,0.0,,Agree,0.0,0.0
576,2021,Q1Q2,Argentina,venezuela,,stay,3.0,1.0,no,1,yes,yes,0.0,Agree,Agree,1.0,0.0
577,2021,Q1Q2,Argentina,venezuela,,stay,3.0,0.0,no,1,,,0.0,Undecided,Agree,0.0,0.0
578,2021,Q1Q2,Argentina,venezuela,,dontknow,1.0,0.0,yes,0,,,0.0,,Agree,0.0,0.0
579,2021,Q1Q2,Argentina,venezuela,,relocate,,,,1,,,0.0,,Agree,1.0,0.0
580,2021,Q1Q2,Argentina,venezuela,,stay,5.0,1.0,,1,yes,yes,0.0,Disagree,Agree,1.0,0.0
581,2021,Q1Q2,Argentina,venezuela,,relocate,1.0,1.0,no,1,,,0.0,Agree,Agree,0.0,0.0
582,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,yes,yes,0.0,Agree,Agree,1.0,0.0
583,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,yes,no,0.0,Disagree,Agree,0.0,0.0
584,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,0,,,0.0,Agree,Agree,0.0,0.0
585,2021,Q1Q2,Argentina,venezuela,,stay,3.0,2.0,,1,yes,yes,0.0,,StronglyAgree,0.0,0.0
586,2021,Q1Q2,Argentina,venezuela,,stay,1.0,1.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
587,2021,Q1Q2,Argentina,venezuela,,stay,4.0,0.0,no,1,,,0.0,StronglyAgree,StronglyAgree,1.0,0.0
588,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Disagree,Agree,0.0,0.0
589,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,yes,Nainpersonclasses,0.0,StronglyAgree,Agree,0.0,0.0
